"","gene_short_name","value_1","value_2"
"1165","wry",0.810782,1.7867
"1166","CG9394",2.16694,4.77366
"1167","CG4928",22.6064,49.7625
"1168","Pvf3",0.839497,1.84696
"1169","geko",27.772,61.0783
"1170","CG7772",199.581,438.903
"1171","CG2233",36.6166,80.5238
"1172","CR45798",280.262,616.165
"1173","Vmat",5.02601,11.043
"1174","Vha100-4",0.830677,1.82466
"1175","CG14292",136.652,300.14
"1176","Pkc98E",49.8199,109.402
"1177","MED18",41.4859,91.0605
"1178","ND-SGDH",167.63,367.93
"1179","Trc8",119.019,260.909
"1180","na",1.01945,2.23383
"1181","Tm1",334.099,731.484
"1182","TyrRS-m",148.476,324.549
"1183","CG34008",42.7689,93.423
"1184","TyrR",0.420571,0.918519
"1185","CG5150",1.61447,3.52468
"1186","Taf2",32.095,70.0515
"1187","Npc2h",10.5499,23.0162
"1188","Con",3.0042,6.55385
"1189","Ak6",29.8365,65.0482
"1190","CG30151",3.47613,7.55963
"1191","CG33051",20.3566,44.2451
"1192","CCHa2",6.93418,15.0568
"1193","CG7084",5.11726,11.1109
"1194","RpL28,snoRNA:Or-CD11a,snoRNA:Or-CD11b",1904.77,4134.46
"1195","fon",7.85164,17.0241
"1196","Fas2",22.4026,48.565
"1197","RpL27",871.106,1888.4
"1198","fz2",5.1803,11.2298
"1199","CG4587",1.43265,3.10546
"1200","mRpL21",58.2456,126.214
"1201","CG30291",43.3439,93.9136
"1202","Dyrk3",18.9692,41.0468
"1203","Rbp1-like",50.6676,109.628
"1204","CG2662",22.4836,48.6467
"1205","cpx",12.1999,26.3874
"1206","Rpt5",130.233,281.59
"1207","GstT3",78.468,169.655
"1208","mRpL28",119.115,257.513
"1209","mRpL38",51.5518,111.4
"1210","Cp15",475.994,1028.34
"1211","Thiolase",111.975,241.785
"1212","antdh",2.67075,5.76633
"1213","RpL24-like",881.331,1902.59
"1214","tou",107.449,231.818
"1215","CG5791",42.808,92.3406
"1216","CG5065",16.3703,35.3112
"1217","CR43334",5.62415,12.1288
"1218","CG9674",12.1324,26.1525
"1219","mRpS16",125.603,270.413
"1220","CG12239",1.29453,2.78593
"1221","TfIIFalpha",317.733,683.429
"1222","chb",21.8769,46.9935
"1223","CG17549",23.0886,49.5726
"1224","mmd",3.05234,6.54633
"1225","Tsp29Fa",5.41557,11.6119
"1226","CG32318,Psf1",24.0667,51.5873
"1227","mRpL15",48.7651,104.482
"1228","PIG-K",21.3213,45.664
"1229","CG3868",7.94013,16.998
"1230","CG7054,Pebp1",79.6025,170.299
"1231","CG6308",28.0391,59.9138
"1232","CG18428",102.752,219.329
"1233","CG4872",16.846,35.9495
"1234","mRpL55",94.6601,201.994
"1235","ACC",72.1975,153.985
"1236",NA,2.64918,5.64638
"1237","bol",17.2059,36.6678
"1238","mRpL42",72.2551,153.778
"1239","CG17816",4.83488,10.2848
"1240","CG12605",5.83624,12.4104
"1241","IM23",42.7302,90.7809
"1242","pan",20.0494,42.595
"1243","RpL38",442.606,939.918
"1244","Lim1",2.7139,5.76152
"1245","sun",515.505,1093.51
"1246","CG31200",5.15699,10.9363
"1247","olf413",1.02925,2.17399
